family,id,docs_path,artifact_path,status,doc_file_count,artifact_file_count,doc_bytes,artifact_bytes,has_manifest,has_adjudication,has_command_evidence,has_construction_inspection,has_claude_review_result,has_review_receipt,has_raw_output,has_readiness_report,has_validation_report,has_review_packet,has_prompt,recommended_action
closeout-pack,cp00-001,docs/closeout-packs/cp00-001,,DOCS_ONLY_REVIEW_REQUIRED,5,0,27220,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-002,docs/closeout-packs/cp00-002,,DOCS_ONLY_REVIEW_REQUIRED,5,0,9863,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-003,docs/closeout-packs/cp00-003,,DOCS_ONLY_REVIEW_REQUIRED,5,0,13942,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-004,docs/closeout-packs/cp00-004,,DOCS_ONLY_REVIEW_REQUIRED,5,0,12446,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-005,docs/closeout-packs/cp00-005,,DOCS_ONLY_REVIEW_REQUIRED,5,0,12895,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-006,docs/closeout-packs/cp00-006,,DOCS_ONLY_REVIEW_REQUIRED,5,0,11971,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-007,docs/closeout-packs/cp00-007,,DOCS_ONLY_REVIEW_REQUIRED,5,0,11284,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-008,docs/closeout-packs/cp00-008,,DOCS_ONLY_REVIEW_REQUIRED,5,0,13417,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-009,docs/closeout-packs/cp00-009,,DOCS_ONLY_REVIEW_REQUIRED,5,0,13460,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-010,docs/closeout-packs/cp00-010,,DOCS_ONLY_REVIEW_REQUIRED,5,0,13995,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-011,docs/closeout-packs/cp00-011,,DOCS_ONLY_REVIEW_REQUIRED,5,0,14542,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-012,docs/closeout-packs/cp00-012,,DOCS_ONLY_REVIEW_REQUIRED,5,0,14799,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
closeout-pack,cp00-013,docs/closeout-packs/cp00-013,,DOCS_ONLY_REVIEW_REQUIRED,5,0,19046,0,true,true,true,true,true,false,false,false,false,false,false,REVIEW_BEFORE_ARCHIVE
