b6eba0647bcd56620af97022b5236e522dc54747	2026-06-30T19:52:26+09:00	Ship desktop auth and LCX full release candidate
7bd541dd44771cbb7d9152effb0c1ef93977d8d2	2026-06-30T21:47:10+09:00	Implement LCX openable operating-fit gates
017b1078f05dc41dacd5ba2aba77d5b042ac9297	2026-06-30T22:17:42+09:00	Bump matter desktop release to v0.1.1
36cbb976d85879ed0309ddd3ecca1d55ea4bb75c	2026-06-30T22:46:59+09:00	Release matter desktop v0.1.2 password reset email
05bf2f112988654520010a74f6de2f355d973d2b	2026-07-01T16:41:04+09:00	Release matter desktop v0.1.3 internal packages
24600c8447fe0c6e5f06d0be350204ad096b9eb8	2026-07-01T17:25:14+09:00	Release matter desktop v0.1.4 client corrections
48dd2da5983203987bb3e065d17d25fbc94ee26f	2026-07-01T21:08:44+09:00	Release matter desktop v0.1.5 matter codes
7e35bce1adea647604c4e95a411a2c004fade6f9	2026-07-01T22:58:47+09:00	Restore production bridge smoke for matter codes
8bd6e30beb8a7759d5a2fe9c292c3ee97f7f2047	2026-07-01T23:00:31+09:00	Record production matter code verification
e00104b15b7c78232ab51987cf70fc4137b5aeea	2026-07-01T23:03:42+09:00	Auto-resolve production bridge token for smoke
22e66c4902c12d3e94dd99ae7d76a7c907ed824a	2026-07-01T23:04:20+09:00	Clarify AWS SSO login profile for bridge smoke
48b8224bee4af62e66538ebd6b328f5534dfbc4a	2026-07-01T23:04:42+09:00	Refresh production bridge smoke receipt
3d7d9da36288549cbb2f90ab4e88b6faa9cfa72c	2026-07-01T23:53:02+09:00	Allow production bridge upsert for deal target codes
ee2184af2d1f9293d8d5249c8fa8d82ff5e4c78e	2026-07-01T23:59:17+09:00	Record production bridge write completion
6985c394556cfd30dc8b24b346d5d5728ab0c12b	2026-07-02T00:05:39+09:00	Auto login AWS SSO for production bridge scripts
05e3e8ddc43a406ea44c3d26fdb1edacd39a781e	2026-07-02T01:09:41+09:00	Finalize desktop reset safety motion release
63865d1acc7e019b384fae18a43152f1dee8d1d5	2026-07-03T13:15:16+09:00	Close Wave-1 local proofs and desktop v0.1.7 candidate
6c83a2d5c4eeb53476fc95389a79280972dde800	2026-07-03T19:28:03+09:00	Close Wave 1 remediation and release candidate
ec1de094a52e580d1754c9364eb770f168d81189	2026-07-04T00:41:08+09:00	feat(web): add AMIC forest skin
609d2b4b71baceceab262c045eb20b3415c26af6	2026-07-04T10:20:14+09:00	chore(desktop): record forest skin installer release
0cf9b84523263d2015ba517c2b0373d34821e7c4	2026-07-04T18:49:20+09:00	fix(web): preserve permission context headers
3f2f8524cbcfbd6eb3b5f0367b2ea3975c28a4f3	2026-07-04T18:50:38+09:00	feat(web): tighten forest skin layout
81671fac252c7d818d9a7209475380c496a7124e	2026-07-04T18:53:39+09:00	feat(web): make forest the default skin
999fad4c4051d26aaae06f3f59f7dbd2da599b43	2026-07-04T18:57:32+09:00	feat(web): formalize forest header takeover
59f4da5e7b127452dba0527fe32386ca41d765b8	2026-07-04T18:59:03+09:00	docs(ui): record forest design system
7bdc1ae721ef4742d1c80180121f70da22b8f7c6	2026-07-04T19:08:09+09:00	feat(web): add forest runtime status strip
74e6170c75c441893425ec92c43c2b6b249508ae	2026-07-04T19:36:40+09:00	fix(web): tighten forest home layout
842e39f79078dcfb185bf8db6f36235722ddfb69	2026-07-04T19:46:38+09:00	docs(desktop): record forest ui final installer release
13c34142e315d3f480fd158f140b29dc9b56f246	2026-07-04T20:49:52+09:00	feat(web): add matter adverse party details
d3b34e1b7ece7ed32726129d9f84c8a17e05a8d1	2026-07-04T20:54:32+09:00	feat(web): clarify conflict review gates
a3203211ea2a93c6f02aef6ffbf72dce7361504e	2026-07-04T20:56:54+09:00	feat(web): show engagement approval readiness
f849443b3db423a6c8b42691810da1fa1f912509	2026-07-04T21:08:42+09:00	feat(web): connect intake matter opening readback
e6a14a6c24d7bb422990196575db83a00c5ca0b4	2026-07-04T21:24:21+09:00	feat(web): wire leave request approvals
54e7e6431835c140de5802c3fbb3ff94e847e4d1	2026-07-04T21:38:36+09:00	feat(web): add admin security operations
c231cb554a98ea71e09e985b6771eb945a2b7227	2026-07-04T21:49:32+09:00	feat(web): extend employment contract lifecycle
ed7dd4b5405daeffe54dd74f2a4ce05bef8f6814	2026-07-04T21:53:17+09:00	feat(web): clarify recruiting conversion controls
25a09956d1be7ae9d57ed025e980624091d49ac2	2026-07-04T22:02:39+09:00	feat(web): keep compensation references masked
d39ed8a8d7f6463f330e4bc24370c4ce00027a07	2026-07-04T22:06:47+09:00	feat(web): tighten matter charge actions
1b8bb676fe8a46a586a1271aed3deb4d9339e2cb	2026-07-04T22:26:54+09:00	chore(desktop): release final packages v0.1.8
e5b74852a6576189d59308971697fac8714f2e6b	2026-07-04T22:28:40+09:00	docs(desktop): record v0.1.8 github release
